ID,Header,Requirement,Active Subject,Action,When,Value
11,B. Summary of the Major Provisions of the Regulatory Action in Question,PHMSA is finalizing this requirement in this final rule because it is aware of incidents where operator personnel have been killed or seriously injured due to pressure build-up at these stations.,PHMSA,finalizing is this requirement in this final rule this final rule because it is aware of incidents operator personnel have been killed or where seriously injured due to pressure build - up at these stations aware of incidents operator personnel have been killed or where seriously injured due to pressure build - up at these stations of incidents operator personnel have been killed or where seriously injured due to pressure build - up at these stations incidents operator personnel have been killed or where seriously injured due to pressure build - up at these stations have been where seriously due to pressure build - up at these stations pressure build - up at these stations at these stations these stations,always,
12,Introduction,"Recent significant growth in the nation's production and use of natural gas is placing unprecedented demands on the Nation's pipeline system, underscoring the importance of moving this energy product safely and efficiently.",Recent significant growth the natural,placing in the nation 's production and use of natural gas the nation 's production and use of natural gas of natural gas natural gas is unprecedented demands on the Nation 's pipeline system on the Nation 's pipeline system the Nation 's pipeline system underscoring the importance of moving this energy product safely and efficiently the importance of moving this energy product safely and efficiently of moving this energy product safely and efficiently this energy product safely and efficiently,always,
13,Introduction,"This final rule strengthens IM requirements, including to ensure operators select the appropriate inspection tool or tools to address the pertinent identified threats to their pipeline segments, and clarifies and expands recordkeeping requirements to ensure operators have and retain the basic physical and operational attributes and characteristics of their pipelines.",This final rule,"strengthens IM requirements , including to ensure operators select the appropriate inspection tool or tools to address the pertinent identified threats to their pipeline segments , and clarifies and expands recordkeeping requirements to ensure operators have and retain the basic physical and operational attributes and characteristics of their pipelines including to ensure operators select the appropriate inspection tool or tools to address the pertinent identified threats to their pipeline segments , and clarifies and expands recordkeeping requirements to ensure operators have and retain the basic physical and operational attributes and characteristics of their pipelines to operators select the appropriate inspection tool or tools to address the pertinent identified threats to their pipeline segments , and clarifies the appropriate inspection tool or tools to to address the pertinent identified threats to their pipeline segments , and clarifies the pertinent identified threats to their pipeline segments , and clarifies to their pipeline segments their pipeline segments recordkeeping requirements to to ensure operators have and retain the basic physical and operational attributes and characteristics of their pipelines operators have and retain the basic physical and operational attributes and characteristics of their pipelines the basic physical and operational attributes and characteristics of their pipelines of their pipelines their pipelines",always,
14,Introduction,"Further, this final rule establishes requirements to periodically assess pipeline segments in locations outside of HCAs where the surrounding population is expected to potentially be at risk from an incident, which are defined in the rule as MCAs.",this final rule,"establishes Further requirements to periodically to periodically assess pipeline segments in locations outside of HCAs where the surrounding population is expected to potentially be at risk from an incident , which are defined in the rule as MCAs pipeline segments in locations in locations locations outside of HCAs where the surrounding population is expected to potentially be at risk from an incident , which are defined in the rule as MCAs of HCAs where the surrounding population is expected to potentially be at risk from an incident , which are defined in the rule as MCAs HCAs where the surrounding population is expected to potentially be at risk from an incident , which are defined in the rule as MCAs where is to potentially to potentially be at risk from an incident , which are defined in the rule as MCAs at risk from an incident , which are defined in the rule as MCAs risk from an incident , which are defined in the rule as MCAs from an incident , which are defined in the rule as MCAs an incident , which are defined in the rule as MCAs are in the rule as MCAs the rule as MCAs as MCAs MCAs",always,
15,Introduction,"Even though these pipeline segments are not within currently defined HCAs, they could be located in areas with significant populations.",these pipeline segments,located Even Even though these pipeline segments are not within currently defined HCAs within currently defined HCAs currently currently defined HCAs could be in areas with significant populations areas with significant populations with significant populations significant populations,always,
16,Natural Gas Infrastructure Overview,Transmission pipelines can range in size from several inches to several feet in diameter.,Transmission pipelines,can range can in size size from several inches several inches to several feet in diameter several feet in diameter in diameter diameter,always,
17,Natural Gas Infrastructure Overview,"They can operate over a wide range of pressures, from a relatively low 200 pounds per square inch gage (psig) to",Not found,can operate can over a wide range of pressures a wide range of pressures of pressures pressures from a relatively low 200 pounds per square inch gage ( psig ) relatively a relatively low 200 pounds per square inch gage ( psig ) per square inch gage square inch gage to,always,['200 pounds']
18,Regulatory History,"During this time, PHMSA found that many operators were performing forms of IM that varied in scope and sophistication but that there were no uniform standards or requirements.",PHMSA,found During this time this time were that many operators were performing forms of IM that varied in scope and sophistication but that there were no uniform standards or requirements forms of IM that varied in scope and sophistication of IM IM in scope and sophistication scope and sophistication no uniform standards or requirements,During this time,
19,Regulatory History,"The IM regulations require that operators conduct comprehensive analyses to identify, prioritize, assess, evaluate, repair, and validate the integrity of gas transmission pipelines in HCAs.",The IM regulations,"require that operators conduct comprehensive analyses to identify , prioritize , assess , evaluate , repair , and validate the integrity of gas transmission pipelines in HCAs comprehensive analyses to identify , prioritize , assess , evaluate , repair , to the integrity of gas transmission pipelines in HCAs of gas transmission pipelines gas transmission pipelines in HCAs HCAs",always,
20,Regulatory History,"Since the implementation of the IM regulations, sweeping changes in the natural gas industry have caused significant shifts in supply and demand, and the Nation's pipeline network faces increased pressures from these changes as well as from the increased exposure caused by a growing and geographically dispersing population.",sweeping changes the natural gas,caused Since the implementation of the IM regulations the implementation of the IM regulations of the IM regulations the IM regulations in the natural gas industry the natural gas industry have significant shifts in supply and demand in supply and demand supply and demand increased pressures from these changes as well as from these changes as well as these changes as well from the increased exposure caused by a growing and geographically dispersing population the increased exposure caused by a growing and geographically dispersing population geographically a growing and geographically dispersing population,always,
21,Regulatory History,"A records search following the PG&E incident required by Congress in the 2011 Pipeline Safety Act, showed that some pipeline operators do not have the records they need to substantiate the current MAOP of their pipelines, as required under existing regulations, and lacked other critical information needed to properly assess risks and threats and perform effective IM.",A records search the PG&E the Pipeline Safety,"showed following the PG&E incident required by Congress in the 2011 Pipeline Safety Act the PG&E incident required by Congress in the 2011 Pipeline Safety Act Congress in the 2011 Pipeline Safety Act the 2011 Pipeline Safety Act do that some pipeline operators do not have the records they need to substantiate the current MAOP of their pipelines , as required under existing regulations , and lacked other critical information needed to properly assess risks and threats and perform effective IM the records they need to substantiate the current MAOP of their pipelines , as required under existing regulations to to substantiate the current MAOP of their pipelines , as required under existing regulations the current MAOP of their pipelines of their pipelines their pipelines as required under existing regulations under existing regulations existing regulations other critical information needed to properly assess risks and threats and perform effective IM to properly to properly assess risks and threats and perform effective IM risks and threats effective IM",always,['2011 Pipeline']
22,Regulatory History,"Following the significant pipeline incident in 2010 at San Bruno, CA, in which 8 people died and more than 50 people were injured, Congress charged PHMSA with improving the IM regulations.",people,"charged Following the significant pipeline incident in 2010 at San Bruno , CA , 8 people died and in which more than 50 people were injured the significant pipeline incident in 2010 at San Bruno , CA , 8 people died and in which more than 50 people were injured in 2010 2010 at San Bruno , CA , 8 people died and in which more than 50 people were injured San Bruno , CA , 8 people died and in which more than 50 people were injured in which which were PHMSA with improving the IM regulations the IM regulations",always,"['2010 at', '8 people', '50 people']"
23,Increasing Pressures on the Existing Pipeline System Due to Supply and Demand Changes,"Despite the significant increase in domestic gas production and the widespread distribution of domestic gas demand, significant flexibility and capacity in the existing transmission system mitigates the level of pipeline expansion and investment required.",the widespread distribution domestic gas significant the existing transmission,mitigates Despite the significant increase in domestic gas production and the significant increase in domestic gas production and in domestic gas production domestic gas production of domestic gas demand domestic gas demand in the existing transmission system the existing transmission system the level of pipeline expansion and investment required of pipeline expansion and investment pipeline expansion and investment,always,
24,Increasing Pressures on the Existing Pipeline System Due to Supply and Demand Changes,Pipeline expansion and construction projects often face significant challenges in determining feasible right-of-ways and developing community support for the projects.,Pipeline projects,face often significant challenges in determining feasible right - of - ways and developing community support for the projects in determining feasible right - of - ways and developing community support for the projects of - ways ways feasible right - of - ways and developing community support for the projects for the projects the projects,always,
25,Data Challenges,"Operators and regulators must have an intimate understanding of the threats to, and operations of, their entire pipeline system.",Operators,"must have must an intimate understanding of the threats of the threats the threats to of , their entire pipeline system their entire pipeline system",always,
26,Data Challenges,Much of operator data is obtained through the assessments and other safety inspections required by IM regulations.,Not found,obtained of operator data operator data is through the assessments and other safety inspections required by IM regulations the assessments and other safety inspections required by IM regulations IM regulations,always,
27,Data Challenges,"However, this testing can be expensive, and the approaches to obtaining data that are most efficient over the long term may require significant upfront costs to modernize pipes and make them suitable for automated inspection.",this testing,,always,
28,Data Challenges,"Because these tests can be performed with product in the pipeline, the pipeline does not have to be taken out of service for testing to occur, which can prevent excessive cost to the operator and possible service disruptions to consumers.",the pipeline,can have can be Because these tests can be performed with product in the pipeline with product product in the pipeline the pipeline does to be to be taken out of service for testing to occur out of service for testing of service for testing service for testing for testing testing to to occur can which can prevent excessive cost to the operator and possible service disruptions to consumers excessive cost to the operator and possible service disruptions to consumers the operator and possible service disruptions to consumers to consumers consumers,always,
29,Data Challenges,"Operators will review records and other data, then inspect the pipeline through assessments that do not require excavation or use mathematical models and environmental surveys to find likely locations on a pipeline where corrosion is most likely to occur.",Operators,will review will records and other data then the pipeline through assessments that do not require excavation or use mathematical models and environmental surveys to find likely locations on a pipeline where corrosion is most likely to occur assessments that do not require excavation or use mathematical models and environmental surveys to find likely locations on a pipeline where corrosion is most likely to occur do excavation mathematical models and environmental surveys to to find likely locations on a pipeline where corrosion is most likely to occur likely locations on a pipeline where corrosion is most likely to occur a pipeline where corrosion is most likely to occur where most most likely to occur to to occur,always,
30,Data Challenges,"For external corrosion, operators must use two or more complementary indirect assessment tools, including, for example, close interval surveys, direct current voltage gradient surveys, and alternating current voltage gradient surveys, to determine potential areas of corrosion to examine.",operators,"must use For external corrosion external corrosion must two or more complementary indirect assessment tools , including , for example , close interval surveys , direct current voltage gradient surveys including , for example , close interval surveys for example example close interval surveys current voltage gradient surveys to potential areas of corrosion of corrosion corrosion to to examine",always,
31,Data Challenges,"For internal corrosion, operators must analyze data to establish whether water was present in the pipe, determine the locations where water would likely accumulate, and provide for a detailed examination and evaluation of those locations.",operators,"must analyze For internal corrosion internal corrosion must data to to establish whether water was present in the pipe whether water was present in the pipe present in the pipe in the pipe the pipe the locations where water would likely accumulate , and provide for a detailed examination and evaluation of those locations where would likely for a detailed examination and evaluation of those locations a detailed examination and evaluation of those locations of those locations those locations",always,
32,Data Challenges,"Areas identified where corrosion may be occurring are then excavated, examined visually, and remediated as necessary.",Areas,may identified where may be where corrosion may be occurring are then visually as necessary,always,
33,Data Challenges,"Operators are required to repair anomalies, if found, and determine further mitigation requirements as necessary.",Not found,required are to to repair anomalies anomalies if found further mitigation requirements as necessary,if,
34,Data Challenges,Direct assessment can be prohibitively expensive to use on a wide scale and may not give an accurate representation of the condition of lengths of entire pipeline segments when the high expense leads the operator to select an insufficient number of observations.,Direct assessment,,when,
35,Data Challenges,"Further, as DA can only be used to validate specific threats, an operator that relies solely on a DA without performing a thorough risk analysis or running multiple tools specific to multiple threats might be leaving other threats unremediated in their pipelines.",an operator that a a thorough risk multiple specific multiple,"can leaving Further can only be as DA can only be used to validate specific threats , to to validate specific threats , specific threats , solely solely on a DA a DA without performing a thorough risk analysis or running multiple tools specific to multiple threats a thorough risk analysis multiple tools specific to multiple threats to multiple threats multiple threats might be other threats unremediated in their pipelines in their pipelines their pipelines",always,
36,"Flow Reversals, Product Changes, and Manufacturing Defects",Significant growth of production outside the Gulf Coast region—especially in Pennsylvania and Ohio,Not found,,always,
37,"Flow Reversals, Product Changes, and Manufacturing Defects","Reversing a pipeline's flow can cause added stress on the system due to changes in gas pipeline pressure and temperature, which can increase the risk",Not found,"can cause a pipeline 's flow can added stress on the system on the system the system due to changes in gas pipeline pressure and temperature , changes in gas pipeline pressure and temperature , in gas pipeline pressure and temperature , gas pipeline pressure and temperature , can which can increase the risk the risk",always,
38,"Flow Reversals, Product Changes, and Manufacturing Defects","Because these pipelines were installed before the Federal gas regulations were issued, many of those pipes were exempted from certain regulations, most notably the requirement to pressure test the pipeline segment immediately after construction and before placing the pipeline into service.",Not found,exempted were Because these pipelines were installed before the Federal gas regulations were issued were before the Federal gas regulations were issued of those pipes those pipes were from certain regulations certain regulations most most notably to immediately immediately after construction and before placing the pipeline into service construction the pipeline into service service,before,
39,Protecting the Safety and Integrity of the Nation's Pipeline System Beyond HCAs,"IM regulations require that operators adopt procedures and processes to identify HCAs; determine likely threats to the pipeline within the HCA; evaluate the physical integrity of the pipe within the HCA; and repair, remediate, or monitor any pipeline defects found based on severity.",IM regulations,require that operators adopt procedures and processes to identify HCAs procedures and processes to to identify HCAs HCAs likely threats to the pipeline within the HCA to the pipeline within the HCA the pipeline within the HCA within the HCA the HCA the physical integrity of the pipe of the pipe the pipe within the HCA the HCA any pipeline defects found based on severity based on severity on severity severity,always,
40,Protecting the Safety and Integrity of the Nation's Pipeline System Beyond HCAs,"In response to the PG&E incident, Congress passed the 2011 Pipeline Safety Act, which directed PHMSA to reexamine many of its safety requirements, including the expansion of IM regulations for transmission pipelines.",Congress,"passed In response to the PG&E incident response to the PG&E incident to the PG&E incident the PG&E incident the 2011 Pipeline Safety Act , which directed PHMSA to reexamine many of its safety requirements , including the expansion of IM regulations for transmission pipelines PHMSA to to reexamine many of its safety requirements , including the expansion of IM regulations for transmission pipelines many of its safety requirements , including the expansion of IM regulations for transmission pipelines of its safety requirements , including the expansion of IM regulations for transmission pipelines its safety requirements , including the expansion of IM regulations for transmission pipelines including the expansion of IM regulations for transmission pipelines the expansion of IM regulations for transmission pipelines of IM regulations for transmission pipelines IM regulations for transmission pipelines for transmission pipelines transmission pipelines",always,['2011 Pipeline']
41,Looking at Risk Beyond HCAs,"In particular, PHMSA asked whether to add prescriptive language to IM requirements, and whether other issues related to system integrity should be addressed by strengthening or expanding non-IM requirements.",PHMSA,should asked In particular to whether to add prescriptive language to IM requirements prescriptive language to IM requirements IM requirements to system integrity system integrity should be non - IM requirements,always,
42,Looking at Risk Beyond HCAs,PHMSA sought comment on the definition of an HCA and whether additional restrictions should be placed on the use of DA as an IM assessment method.,PHMSA,should sought comment on the definition of an HCA on the definition of an HCA the definition of an HCA of an HCA an HCA should be on the use of DA as an IM assessment method the use of DA as an IM assessment method of DA DA as an IM assessment method an IM assessment method,always,
43,Looking at Risk Beyond HCAs,"PHMSA also requested comment on non-IM requirements, including valve spacing and installation, corrosion control, and whether regulations for gathering lines needed to be modified.",PHMSA,"requested also comment on non - IM requirements , including valve spacing and installation , corrosion control on non - IM requirements , including valve spacing and installation , corrosion control non - IM requirements , including valve spacing and installation , corrosion control including valve spacing and installation , corrosion control valve spacing and installation , corrosion control for gathering lines needed to be modified lines needed to be modified to be to be modified",always,
44,Looking at Risk Beyond HCAs,"Section 23 of the 2011 Pipeline Safety Act required PHMSA to have pipeline operators conduct a records verification to ensure that their records accurately reflect the physical and operational characteristics of their pipelines in certain HCAs and class locations, and to confirm the established MAOP of those pipelines.",Section the Pipeline Safety,"required of the 2011 Pipeline Safety Act the 2011 Pipeline Safety Act PHMSA to to have pipeline operators conduct a records verification to ensure that their records accurately reflect the physical and operational characteristics of their pipelines in certain HCAs and class locations , and to confirm the established MAOP of those pipelines pipeline operators conduct a records verification to ensure that their records accurately reflect the physical and operational characteristics of their pipelines in certain HCAs and class locations , and to confirm the established MAOP of those pipelines a records verification to to ensure that their records accurately reflect the physical and operational characteristics of their pipelines in certain HCAs and class locations , and to confirm the established MAOP of those pipelines accurately that their records accurately reflect the physical and operational characteristics of their pipelines in certain HCAs and class locations , and to confirm the established MAOP of those pipelines the physical and operational characteristics of their pipelines in certain HCAs and class locations of their pipelines their pipelines in certain HCAs and class locations certain HCAs and class locations to the established MAOP of those pipelines of those pipelines those pipelines",always,"['23 of', '2011 Pipeline']"
45,Looking at Risk Beyond HCAs,There have been several recent incidents in non-HCAs that show significant incidents can occur in non-HCAs.,Not found,,always,
46,Looking at Risk Beyond HCAs,"Even though the pipeline was in a Class 1 rural area, it still had a significant impact on the local population.",the pipeline,had Even Even though the pipeline was in a Class 1 rural area in a Class 1 rural area a Class 1 rural area still a significant impact on the local population on the local population the local population,always,['1 rural']
47,Looking at Risk Beyond HCAs,"The Nation's population is growing, moving, and dispersing, leading to changes in population density that can affect the class location of a pipeline segment, as well as whether it is in an HCA.",The population,"can growing is moving , and dispersing , leading to changes in population density that can affect the class location of a pipeline segment , as well as whether it is in an HCA to changes in population density that can affect the class location of a pipeline segment , as well as whether it is in an HCA changes in population density that can affect the class location of a pipeline segment , as well as whether it is in an HCA in population density population density can the class location of a pipeline segment , as well as of a pipeline segment a pipeline segment as well whether it is in an HCA in an HCA an HCA",always,
48,Looking at Risk Beyond HCAs,The definition of HCA is not necessarily an accurate reflection of whether an incident will have an impact on people.,The definition,,always,
49,Looking at Risk Beyond HCAs,"Given the results of incident investigations, IM considerations, and the feedback from the ANPRM and the NPRM, PHMSA has determined it is appropriate to improve aspects of the current IM program and codify requirements for additional gas transmission pipelines to receive integrity assessments on a periodic basis to monitor for, detect, and remediate pipeline defects and anomalies.",PHMSA,"determined Given the results of incident investigations , IM considerations , and the feedback from the ANPRM and the NPRM the results of incident investigations , IM considerations , and the feedback from the ANPRM and the NPRM of incident investigations , IM considerations , and the feedback from the ANPRM and the NPRM incident investigations , IM considerations , and the feedback from the ANPRM and the NPRM from the ANPRM and the NPRM the ANPRM and the NPRM has it is appropriate to improve aspects of the current IM program and codify requirements for additional gas transmission pipelines to receive integrity assessments on a periodic basis to monitor for , detect , and remediate pipeline defects and anomalies appropriate to to improve aspects of the current IM program and codify requirements for additional gas transmission pipelines to receive integrity assessments on a periodic basis to monitor for , detect , and remediate pipeline defects and anomalies aspects of the current IM program of the current IM program the current IM program requirements for additional gas transmission pipelines for additional gas transmission pipelines additional gas transmission pipelines to to receive integrity assessments on a periodic basis to monitor for , detect , and remediate pipeline defects and anomalies integrity assessments on a periodic basis to monitor for , detect , and remediate pipeline defects and anomalies a periodic basis to monitor for , detect , and remediate pipeline defects and anomalies to for",always,
50,Looking at Risk Beyond HCAs,"In addition, to achieve the desired outcome of performing assessments in areas where people live, work, or congregate, while balancing the cost of identifying such locations, PHMSA based the requirements for identifying those locations on effective processes already being implemented by pipeline operators and that protect people on a risk-prioritized basis.",people,"based In addition addition to to achieve the desired outcome of performing assessments in areas where people live , work , or congregate the desired outcome of performing assessments in areas where people live , work , or congregate of performing assessments in areas where people live , work , or congregate assessments in areas where people live , work , or congregate areas where people live , work , or congregate where while balancing the cost of identifying such locations the cost of identifying such locations of identifying such locations such locations the requirements for identifying those locations on effective processes already being implemented by pipeline operators and that protect people on a risk - prioritized basis for identifying those locations on effective processes already being implemented by pipeline operators and that protect people on a risk - prioritized basis those locations on effective processes already being implemented by pipeline operators and that protect people on a risk - prioritized basis effective processes already being implemented by pipeline operators and that protect people on a risk - prioritized basis already being pipeline operators people on a risk - prioritized basis a risk - prioritized basis",while,
51,Looking at Risk Beyond HCAs,Establishing integrity assessment requirements for non-HCA pipeline segments is important for providing safety to the public.,Not found,,always,
52,Looking at Risk Beyond HCAs,"Although those pipeline segments are not within defined HCAs, they will usually be in populated areas, and pipeline accidents in these areas may cause fatalities, significant property damage, or disrupt livelihoods.",those pipeline segments,,always,
53,Looking at Risk Beyond HCAs,"This final rule adopts a newly defined definition for MCAs to identify additional non-HCA pipeline segments that would require integrity assessments, thus assuring the timely discovery and repair of pipeline defects in MCA segments that could potentially impact people, property, or the environment.",This final rule,"adopts newly a newly defined definition for MCAs for MCAs MCAs to to identify additional non - HCA pipeline segments that would require integrity assessments , thus assuring the timely discovery and repair of pipeline defects in MCA segments that could potentially impact people , property , or the environment additional non - HCA pipeline segments that would require integrity assessments would integrity assessments thus thus assuring the timely discovery and repair of pipeline defects in MCA segments that could potentially impact people , property , or the environment the timely discovery and repair of pipeline defects in MCA segments that could potentially impact people , property , or the environment of pipeline defects in MCA segments that could potentially impact people , property , or the environment pipeline defects in MCA segments that could potentially impact people , property , or the environment in MCA segments MCA segments could potentially people , property , or the environment",always,
54,Looking at Risk Beyond HCAs,"At the same time, operators can allocate their resources to HCAs on a higher-priority basis.",operators,can allocate At the same time the same time can their resources to HCAs HCAs on a higher - priority basis a higher - priority basis,always,
55,B. Pacific Gas and Electric Incident of 2010,"The NTSB also noted that PHMSA's exemption of pipelines installed before 1970 from the regulatory requirement for pressure testing, which likely would have detected the installation defects, was a contributing factor to the accident.",The NTSB,"noted also of pipelines installed before 1970 from the regulatory requirement for pressure testing , which likely would have detected the installation defects pipelines installed before 1970 from the regulatory requirement for pressure testing , which likely would have detected the installation defects before 1970 1970 from the regulatory requirement for pressure testing , which likely would have detected the installation defects the regulatory requirement for pressure testing , which likely would have detected the installation defects for pressure testing , which likely would have detected the installation defects pressure testing , which likely would have detected the installation defects likely would have the installation defects that PHMSA 's exemption of pipelines installed before 1970 from the regulatory requirement for pressure testing , which likely would have detected the installation defects , was a contributing factor to the accident a contributing factor to the accident to the accident the accident",before 1970,['1970 from']
56,B. Pacific Gas and Electric Incident of 2010,"When the initial Federal minimum safety standards for natural gas transmission pipelines were finalized in 1970, an exemption was carved out for pre-1970s pipelines from the requirement for a post-construction hydrostatic pressure test.",Not found,carved When for natural gas transmission pipelines natural gas transmission pipelines were When the initial Federal minimum safety standards for natural gas transmission pipelines were finalized in 1970 in 1970 1970 was for pre-1970s pipelines pre-1970s pipelines from the requirement the requirement for a post - construction hydrostatic pressure test a post - construction hydrostatic pressure test,When,"['1970', '1970s']"
